Blockchain,Date,Type,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Optimism,15-12-22,Stablecoins,30293,11931,29300374.06,967.2324979,27.54116242
Osmosis,15-12-22,Native Coin,3836,1124,507495.4619,131.9884166,10.08743898
Osmosis,15-12-22,Other Tokens,6167,2769,1545863.806,250.6670675,9.385759633
Osmosis,15-12-22,Stablecoins,2690,848,1280974.119,476.1985574,77.934456
Polygon,15-12-22,Other Tokens,27861,11974,12974699.58,465.6939657,4.00467374
Polygon,15-12-22,Stablecoins,51062,18453,29460009.15,576.9458531,19.31552932
Solana,15-12-22,Native Coin,22066,2468,3217353.97,145.8059444,16.38559002
Solana,15-12-22,Other Tokens,14725,1710,2071606.641,140.6099668,15.12962605
Solana,15-12-22,Stablecoins,88420,2810,6913544.043,78.18540054,1.002549991
THORChain,15-12-22,Native Coin,9314,373,7601805.661,794.1710887,408.8364398
THORChain,15-12-22,Other Tokens,7453,293,6068822.913,814.2792047,439.1231375
THORChain,15-12-22,Stablecoins,2995,76,1822068.962,608.3702712,430.9156681
Algorand,16-12-22,Native Coin,7947,752,1060144.759,133.4018823,5.17106899
Algorand,16-12-22,Other Tokens,8815,510,1487179.901,165.5180747,3.813781651
Algorand,16-12-22,Stablecoins,9967,273,1326169.851,129.7876151,8.46456077
Arbitrum,16-12-22,Native Coin,44921,13891,43939752,978.1561408,6.09768539
Arbitrum,16-12-22,Other Tokens,9315,4360,4167754.097,447.4239503,0.270372449
Arbitrum,16-12-22,Stablecoins,23226,7122,36858856.97,1586.965339,209.3678372
Avalanche,16-12-22,Native Coin,14246,4254,4749232.671,333.3730641,48.3839325
Avalanche,16-12-22,Other Tokens,1075,443,924485.2832,859.9863099,194.4798161
Avalanche,16-12-22,Stablecoins,7859,2158,6649269.406,846.0706713,132.1544115
BSC,16-12-22,Native Coin,294519,86491,90236893.88,306.387343,44.14917937
BSC,16-12-22,Other Tokens,15141,5950,16832220.45,1111.698068,51.37304607
BSC,16-12-22,Stablecoins,269357,101684,183968707.7,682.9921173,52.08796276
Ethereum,16-12-22,Native Coin,32321,518,477339522.7,13951.17705,721.82
Ethereum,16-12-22,Other Tokens,31329,651,207430543.3,5988.525416,492.7565433
Ethereum,16-12-22,Stablecoins,19473,579,789533148.3,36243.71779,1362.125183
Flow,16-12-22,Native Coin,181,75,42873.87582,229.2720632,30.00969497
Flow,16-12-22,Other Tokens,74,11,8270.271068,111.7604198,64.42273304
Flow,16-12-22,Stablecoins,364,120,126869.4454,252.7279789,54.1419357
Gnosis,16-12-22,Other Tokens,4047,442,214868.5547,53.09329249,1.445493828
Gnosis,16-12-22,Stablecoins,554,84,30755.68863,55.51568346,0.992998448
NEAR,16-12-22,Native Coin,985,199,446658.2879,448.9028019,49.79987646
NEAR,16-12-22,Other Tokens,829,71,2646239.074,3105.914406,3.901554756
NEAR,16-12-22,Stablecoins,1157,144,1026595.225,732.2362519,76.60411221
Optimism,16-12-22,Native Coin,11277,4858,8845549.785,784.3885594,36.84242827
Optimism,16-12-22,Other Tokens,6334,2514,8413524.16,1328.311361,6.063412011
Optimism,16-12-22,Stablecoins,35121,11095,60600938.07,1725.490108,45.53893123
Osmosis,16-12-22,Native Coin,5275,1213,673174.793,127.5677076,9.830966829
Osmosis,16-12-22,Other Tokens,8828,3137,2688642.846,304.5585462,31.56314322
Osmosis,16-12-22,Stablecoins,4116,957,2857890.15,694.3367711,184.76302
Polygon,16-12-22,Other Tokens,35800,12651,28460669.18,794.9907593,21.75875432
